member_id,first_name,last_name,date_of_birth,enrollment_status
MEM001,John,Smith,1985-03-15,Active
MEM002,Sarah,Johnson,1990-07-22,Active
MEM003,Michael,Brown,1978-11-08,Inactive
MEM004,Emily,Davis,1992-01-30,Active
MEM005,David,Wilson,1980-05-12,Active
MEM006,Jessica,Miller,1988-09-18,Active
MEM007,Christopher,Taylor,1975-12-03,Terminated
MEM008,Amanda,Anderson,1993-04-25,Active
MEM009,James,Thomas,1982-08-14,Active
MEM010,Ashley,Jackson,1991-02-28,Active
MEM011,Robert,White,1979-06-07,Active
MEM012,Megan,Harris,1987-10-11,Inactive
MEM013,William,Martin,1984-01-19,Active
MEM014,Rachel,Thompson,1989-03-26,Active
MEM015,Kevin,Garcia,1986-07-09,Active
MEM016,Lauren,Martinez,1994-05-16,Active
MEM017,Matthew,Robinson,1977-09-23,Terminated
MEM018,Nicole,Clark,1983-12-02,Active
MEM019,Daniel,Rodriguez,1981-04-18,Active
MEM020,Stephanie,Lewis,1990-08-05,Active
MEM021,Andrew,Lee,1976-11-12,Active
MEM022,Jennifer,Walker,1992-02-29,Active
MEM023,Brandon,Hall,1985-06-14,Inactive
MEM024,Samantha,Allen,1988-10-21,Active
MEM025,Joshua,Young,1974-01-08,Active
MEM026,Melissa,Hernandez,1991-03-17,Active
MEM027,Ryan,King,1987-07-24,Active
MEM028,Brittany,Wright,1993-11-30,Active
MEM029,Justin,Lopez,1982-05-06,Terminated
MEM030,Kristen,Hill,1989-09-13,Active
MEM031,Tyler,Scott,1986-01-20,Active
MEM032,Heather,Green,1984-04-27,Active
MEM033,Nathan,Adams,1979-08-03,Active
MEM034,Amy,Baker,1992-12-10,Inactive
MEM035,Jeremy,Gonzalez,1981-03-16,Active
MEM036,Christina,Nelson,1988-07-23,Active
MEM037,Jacob,Carter,1975-11-29,Active
MEM038,Michelle,Mitchell,1990-02-05,Active
MEM039,Sean,Perez,1987-06-12,Active
MEM040,Angela,Roberts,1983-10-19,Active
MEM041,Alexander,Turner,1985-01-25,Terminated
MEM042,Kelly,Phillips,1991-05-02,Active
MEM043,Brian,Campbell,1978-09-08,Active
MEM044,Lisa,Parker,1992-01-15,Active
MEM045,Eric,Evans,1980-04-22,Active
MEM046,Rebecca,Edwards,1889-08-28,Active
MEM047,Gregory,Collins,1986-12-04,Inactive
MEM048,Sandra,Stewart,1984-03-11,Active
MEM049,Jonathan,Sanchez,1989-07-18,Active
MEM050,Kimberly,Morris,1987-11-24,Active
MEM051,Adam,Rogers,1982-02-01,Active
MEM052,Tiffany,Reed,1993-06-07,Active
MEM053,Mark,Cook,1976-10-14,Active
MEM054,Julie,Bailey,1990-01-21,Terminated
MEM055,Scott,Rivera,1985-05-28,Active
MEM056,Vanessa,Cooper,1988-09-04,Active
MEM057,Patrick,Richardson,1981-12-11,Active
MEM058,Crystal,Cox,1992-04-17,Active
MEM059,Jason,Howard,1979-08-24,Active
MEM060,Danielle,Ward,1987-11-01,Inactive
MEM061,Stephen,Torres,1983-02-07,Active
MEM062,Monica,Peterson,1991-06-14,Active
MEM063,Aaron,Gray,1986-10-20,Active
MEM064,Cassandra,Ramirez,1984-01-27,Active
MEM065,Benjamin,James,1989-05-03,Active
MEM066,Veronica,Watson,1982-09-10,Terminated
MEM067,Kenneth,Brooks,1978-12-16,Active
MEM068,Diana,Kelly,1993-03-23,Active
MEM069,Timothy,Sanders,1980-07-30,Active
MEM070,Jacqueline,Price,1988-11-05,Active
MEM071,Victor,Bennett,1985-02-12,Active
MEM072,Catherine,Wood,1991-06-19,Inactive
MEM073,Anthony,Barnes,1977-10-25,Active
MEM074,Allison,Ross,1992-01-02,Active
MEM075,Carl,Henderson,1984-05-08,Active
MEM076,Sara,Coleman,1989-09-15,Active
MEM077,Frank,Jenkins,1981-12-22,Active
MEM078,Kayla,Perry,1987-03-29,Terminated
MEM079,Edward,Powell,1983-07-05,Active
MEM080,Brooke,Long,1990-11-12,Active
MEM081,Raymond,Patterson,1986-02-18,Active
MEM082,Alexis,Hughes,1992-06-25,Active
MEM083,Peter,Flores,1979-10-01,Inactive
MEM084,Cynthia,Washington,1988-01-08,Active
MEM085,Jose,Butler,1985-05-15,Active
MEM086,Shannon,Simmons,1991-09-21,Active
MEM087,Larry,Foster,1982-12-28,Active
MEM088,Miranda,Gonzales,1984-04-04,Active
MEM089,Ralph,Bryant,1989-08-11,Terminated
MEM090,Natalie,Alexander,1987-11-17,Active
MEM091,Harold,Russell,1983-02-24,Active
MEM092,Paige,Griffin,1990-06-02,Active
MEM093,Arthur,Diaz,1986-10-08,Active
MEM094,Jenna,Hayes,1992-01-15,Inactive
MEM095,Eugene,Myers,1981-05-21,Active
MEM096,Lindsey,Ford,1988-09-27,Active
MEM097,Wayne,Hamilton,1785-12-04,Active
MEM098,Courtney,Graham,1984-04-10,Active
MEM099,Roy,Sullivan,1989-08-17,Active
MEM100,Leah,Wallace,1987-11-23,Active
